,Filename,RelFreq Noun,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORGS
0,0103.b3.txt,1857.14,558.82,588.24,243.7,19,1,0
1,0105.b3.txt,1373.86,857.62,749.38,391.34,7,0,0
2,0122.b3.txt,1386.34,790.01,596.33,259.94,14,2,0
3,0130.b3.txt,1571.43,755.1,688.78,423.47,11,5,0
4,0133.b3.txt,1298.06,764.36,556.31,357.3,38,4,0
5,0134.b3.txt,1551.33,934.26,801.61,807.38,11,0,0
6,0139.b3.txt,1956.78,835.28,835.28,362.15,10,1,0
7,0140.b3.txt,2686.19,644.35,577.41,276.15,5,0,0
8,0165.b3.txt,1713.44,653.68,627.27,247.61,43,0,0
9,0171.b3.txt,1616.73,786.52,811.49,312.11,11,0,0
10,0200.b3.txt,1762.8,797.15,829.55,414.78,9,0,0
11,0300.b3.txt,1583.62,838.68,799.21,291.07,23,1,0
12,0303.b3.txt,1494.51,747.25,791.21,417.58,2,0,0
13,0304.b3.txt,1692.86,835.71,607.14,435.71,6,4,0
14,0307.b3.txt,1612.2,735.29,762.53,228.76,13,4,0
15,0308.b3.txt,1758.03,894.77,838.06,699.43,4,1,0
16,0310.b3.txt,1745.71,715.45,801.31,560.1,22,6,0
17,0313.b3.txt,1706.35,543.65,765.87,277.78,5,2,0
18,1023.b3.txt,1246.82,718.83,763.36,445.29,8,0,0
19,1057.b3.txt,1801.8,947.4,648.07,366.17,19,1,0
20,1066.b3.txt,1694.74,878.95,952.63,426.32,9,0,0
21,1069.b3.txt,1451.61,703.81,651.03,395.89,36,1,0
22,1082.b3.txt,2092.5,672.7,882.92,316.95,13,2,0
23,1097.b3.txt,1576.4,831.72,899.42,527.08,13,1,0
24,1100.b3.txt,1615.22,739.41,653.27,301.51,15,2,0
25,1102.b3.txt,1666.67,701.75,913.74,431.29,4,4,0
26,1112.b3.txt,1585.27,888.71,816.65,456.37,8,0,0
27,1508.b3.txt,1534.51,876.87,638.99,307.84,18,1,0
28,1520.b3.txt,1162.69,770.62,527.26,283.91,20,1,0
29,1532.b3.txt,1621.1,844.12,661.87,364.51,16,3,0
30,1533.b3.txt,1701.53,888.98,703.94,337.89,8,0,0
31,1534.b3.txt,1692.03,828.11,966.88,496.87,13,0,0
32,1536.b3.txt,1811.4,740.54,676.61,463.51,13,3,0
33,2018.b3.txt,1768.79,1023.12,670.52,294.8,11,0,0
34,2034.b3.txt,1417.36,1134.94,601.46,392.26,14,0,0
