,Season,Sentence,labels
0,Season 1,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",disgust
1,Season 1,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",disgust
2,Season 1,How close did you get?,surprise
3,Season 1,Close as any man would.,neutral
4,Season 1,We should head back to the wall.,fear
5,Season 1,Do the dead frighten you?,fear
6,Season 1,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,neutral
7,Season 1,You don't think he'll ask us how they died? Get back on your horse.,surprise
8,Season 1,Whatever did it to them could do it to us. They even killed the children.,anger
9,Season 1,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",anger
10,Season 1,Your dead men seem to have moved camp.,neutral
11,Season 1,They were here.,neutral
12,Season 1,See where they went.,neutral
13,Season 1,What is it?,surprise
14,Season 1,It's …,neutral
15,Season 1,Go on. Father's watching.,neutral
16,Season 1,And your mother.,anger
17,Season 1,"Fine work, as always. Well done.",neutral
18,Season 1,Thank you.,neutral
19,Season 1,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,joy
20,Season 1,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",neutral
21,Season 1,"Don't think too much, Bran.",neutral
22,Season 1,Relax your bow arm.,neutral
23,Season 1,"Quick, Bran, faster!",surprise
24,Season 1,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,disgust
25,Season 1,Get the lads to saddle their horses.,neutral
26,Season 1,Do you have to?,surprise
27,Season 1,"He swore an oath, Cat.",disgust
28,Season 1,"The law is law, my lady.",neutral
29,Season 1,"Tell Bran he's coming, too.",neutral
30,Season 1,Ned. Ten is too young to see such things.,neutral
31,Season 1,He won't be a boy forever. And winter is coming.,neutral
32,Season 1,"Lad, go run back and get the rest.",neutral
33,Season 1,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",neutral
34,Season 1,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",sadness
35,Season 1,"nods yes, and WILL is positioned on the tree limb that serves as a block.",neutral
36,Season 1,"Forgive me, lord.",anger
37,Season 1,"In the name of Robert of the House Baratheon, first of his name …",neutral
38,Season 1,Don't look away.,fear
39,Season 1,King of the Andals and the First Men …,neutral
40,Season 1,Father will know if you do.,neutral
41,Season 1,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",sadness
42,Season 1,You did well.,neutral
43,Season 1,You understand why I did it?,surprise
44,Season 1,Jon said he was a deserter.,disgust
45,Season 1,But do you understand why I had to kill him?,anger
