Season,Sentence,labels
Season 1,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",disgust
Season 1,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",disgust
Season 1,How close did you get?,surprise
Season 1,Close as any man would.,neutral
Season 1,We should head back to the wall.,fear
Season 1,Do the dead frighten you?,fear
Season 1,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,neutral
Season 1,You don't think he'll ask us how they died? Get back on your horse.,surprise
Season 1,Whatever did it to them could do it to us. They even killed the children.,anger
Season 1,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",anger
Season 1,Your dead men seem to have moved camp.,neutral
Season 1,They were here.,neutral
Season 1,See where they went.,neutral
Season 1,What is it?,surprise
Season 1,It's …,neutral
Season 1,Go on. Father's watching.,neutral
Season 1,And your mother.,anger
Season 1,"Fine work, as always. Well done.",neutral
Season 1,Thank you.,neutral
Season 1,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,joy
Season 1,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",neutral
Season 1,"Don't think too much, Bran.",neutral
Season 1,Relax your bow arm.,neutral
Season 1,"Quick, Bran, faster!",surprise
Season 1,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,disgust
Season 1,Get the lads to saddle their horses.,neutral
Season 1,Do you have to?,surprise
Season 1,"He swore an oath, Cat.",disgust
Season 1,"The law is law, my lady.",neutral
Season 1,"Tell Bran he's coming, too.",neutral
Season 1,Ned. Ten is too young to see such things.,neutral
Season 1,He won't be a boy forever. And winter is coming.,neutral
Season 1,"Lad, go run back and get the rest.",neutral
Season 1,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",neutral
Season 1,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",sadness
Season 1,"nods yes, and WILL is positioned on the tree limb that serves as a block.",neutral
Season 1,"Forgive me, lord.",anger
Season 1,"In the name of Robert of the House Baratheon, first of his name …",neutral
Season 1,Don't look away.,fear
Season 1,King of the Andals and the First Men …,neutral
Season 1,Father will know if you do.,neutral
Season 1,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",sadness
Season 1,You did well.,neutral
Season 1,You understand why I did it?,surprise
Season 1,Jon said he was a deserter.,disgust
Season 1,But do you understand why I had to kill him?,anger
Season 1,Our way is the old way?,neutral
Season 1,The man who passes the sentence should swing the sword.,anger
Season 1,Is it true he saw the White Walkers?,surprise
Season 1,The White Walkers have been gone for thousands of years.,neutral
Season 1,So he was lying?,surprise
Season 1,A madman sees what he sees.,anger
Season 1,What is it?,surprise
Season 1,Mountain lion?,neutral
Season 1,There are no mountain lions in these woods.,neutral
Season 1,It's a freak.,disgust
Season 1,It's a direwolf.,disgust
Season 1,Tough old beast.,disgust
Season 1,There are no direwolves south of the Wall.,neutral
Season 1,Now there are five.,neutral
Season 1,You want to hold it?,anger
